Gene_Symbol,Chromosome,Variant_Type,Clinical_Significance,Phenotype
BRCA1,17,single nucleotide variant,Pathogenic,Breast-ovarian cancer familial 1
BRCA2,13,deletion,Pathogenic,Breast cancer
TP53,17,single nucleotide variant,Pathogenic,Li-Fraumeni syndrome
APOE,19,single nucleotide variant,Benign,Alzheimer disease susceptibility
CFTR,7,deletion,Pathogenic,Cystic fibrosis
BRCA1,17,insertion,Pathogenic,Breast-ovarian cancer familial 1
EGFR,7,single nucleotide variant,Uncertain significance,Lung cancer
TP53,17,deletion,Pathogenic,Li-Fraumeni syndrome
MYBPC3,11,single nucleotide variant,Pathogenic,Hypertrophic cardiomyopathy
CFTR,7,single nucleotide variant,Pathogenic,Cystic fibrosis
LDLR,19,single nucleotide variant,Pathogenic,Familial hypercholesterolemia
BRCA2,13,single nucleotide variant,Benign,Not provided
